Pedigree,Height.15,Height.17,Height.22,Height.24,Height.27,Height.30,Height.32,Height.37,Height.39,Height.41,Height.45,Height.48,Height.51,Height.56,Height.60,Height.62,Height.69,Height.73,Height.76,Height.80,Height.83,Height.87,Height.90,Height.99,Height.101,Height.104,Height.107,Height.111,Height.114,Height.118,Height.122,Height.126
W10004_0427 X PHZ51,0.111666052,0.128400181,0.208573052,0.261560662,0.369946957,0.517664652,0.639090495,1.01442741,1.184661699,1.3586594,1.692236281,1.906061112,2.073333584,2.243968475,2.304920768,2.319934814,2.337022619,2.338441758,2.338758472,2.338919504,2.338977495,2.339024498,2.33901902,2.339088235,2.339093413,2.339099557,2.339104166,2.339108544,2.339110851,2.339026806,2.339114422,2.33911534
W10004_0430 X PHK76,0.096791148,0.112922301,0.191201415,0.243443376,0.351002137,0.498485396,0.620129859,0.99645164,1.16647273,1.339265239,1.665805385,1.869670838,2.024006436,2.172940074,2.222058568,2.233525477,2.246153682,2.24725306,2.24752623,2.247678446,2.247735852,2.247782794,2.247777315,2.247846529,2.247851708,2.247857852,2.247862461,2.247866838,2.247869146,2.2477851,2.247872717,2.247873634
W10004_0430 X PHP02,0.062672871,0.078981705,0.157564562,0.209740506,0.316839073,0.463386308,0.584240928,0.959563005,1.130547499,1.305765955,1.642969207,1.860055908,2.030433198,2.204685454,2.266860668,2.282088528,2.299190659,2.300567605,2.30087376,2.301031699,2.301089404,2.301136371,2.301130892,2.301200107,2.301205285,2.301211429,2.301216038,2.301220416,2.301222723,2.301138677,2.301226294,2.301227211
W10004_0430 X PHZ51,0.084127971,0.100991322,0.182136725,0.235931182,0.346172226,0.496653167,0.620439878,1.002979283,1.176195905,1.352889685,1.690001196,1.904155421,2.0697019,2.234741155,2.291346165,2.304783763,2.319472894,2.320664377,2.320945904,2.321099228,2.321156674,2.321203619,2.321198139,2.321267354,2.321272532,2.321278676,2.321283285,2.321287663,2.32128997,2.321205925,2.321293541,2.321294459
W10004_0465 X PHP02,0.213614542,0.230406886,0.310252075,0.362739378,0.469726231,0.61503502,0.73420675,1.101738164,1.268245614,1.438449503,1.765257514,1.975694611,2.141612895,2.314146486,2.378497758,2.395163566,2.415746671,2.417754353,2.418211109,2.418419983,2.418484194,2.418532422,2.418527025,2.418596248,2.418601427,2.418607571,2.41861218,2.418616557,2.418618865,2.418534819,2.418622436,2.418623353
W10004_0465 X PHZ51,0.113429329,0.130386374,0.212074521,0.266250977,0.377277532,0.528812215,0.653450737,1.038658522,1.213187074,1.391356073,1.731884781,1.948802765,2.116897718,2.284736862,2.342062104,2.355512308,2.369843068,2.370920003,2.371163657,2.371293993,2.371342604,2.371382313,2.371377678,2.371436225,2.371440605,2.371445802,2.3714497,2.371453403,2.371455355,2.371384264,2.371458375,2.371459151
W10004_0467 X PHK76,-0.128208936,-0.112849063,-0.037443036,0.013450103,0.119228248,0.265830229,0.387672264,0.76690013,0.938032793,1.110906394,1.432102379,1.62700428,1.770845416,1.907299553,1.952839133,1.96373736,1.97603647,1.977132751,1.977405837,1.97755805,1.977615456,1.977662398,1.977656919,1.977726134,1.977731312,1.977737456,1.977742065,1.977746442,1.97774875,1.977664704,1.977752321,1.977753238
W10004_0467 X PHP02,-0.058384759,-0.0417255,0.038615833,0.091965206,0.201409815,0.350941214,0.473999922,0.85421839,1.0261963,1.201397295,1.534627702,1.745152845,1.906792851,2.066081472,2.119798064,2.132407657,2.146125827,2.14726228,2.147538068,2.147690551,2.147747964,2.147794906,2.147789426,2.147858641,2.14786382,2.147869963,2.147874573,2.14787895,2.147881258,2.147797212,2.147884828,2.147885746
W10004_0467 X PHZ51,-0.020480216,-0.00319276,0.079155555,0.13334156,0.243830514,0.393899981,0.516938992,0.895981957,1.067411683,1.242386377,1.577285287,1.791706113,1.959453506,2.130986428,2.192748693,2.208123313,2.225935233,2.227464209,2.22780425,2.227972171,2.228030875,2.228077987,2.228072514,2.22814173,2.228146908,2.228153052,2.228157661,2.228162038,2.228164346,2.2280803,2.228167917,2.228168834
W10004_0474 X PHK76,-0.005172102,0.012205484,0.09545111,0.150433116,0.262732818,0.415282208,0.540125094,0.921793245,1.092199637,1.264131306,1.585470347,1.783521811,1.932037988,2.074377022,2.121386937,2.132413494,2.144534631,2.145545854,2.145786393,2.145916822,2.145965475,2.146005191,2.146000556,2.146059102,2.146063482,2.146068679,2.146072578,2.146076281,2.146078232,2.146007141,2.146081253,2.146082029
W10004_0474 X PHP02,-0.015857193,0.000775037,0.080523507,0.133254135,0.241126627,0.388118541,0.508894284,0.881707146,1.050435862,1.22257341,1.551303489,1.76065189,1.923115943,2.086438081,2.143341599,2.157052137,2.172284283,2.173533017,2.17382292,2.173977903,2.174035447,2.1740824,2.174076921,2.174146136,2.174151314,2.174157458,2.174162067,2.174166445,2.174168752,2.174084707,2.174172323,2.17417324
