"","grp","var1","var2","vcov","sdcor","Percent","RMSE","Repeatability","Rsquared","Trait"
"85","Pedigree:Flight","(Intercept)",NA,0.000228383726618784,0.0151123699868281,0.0321079711430701,0.0265820357110604,0.62285912790454,0.877211488237016,"ExG"
"86","Pedigree","(Intercept)",NA,7.58616842180629e-05,0.00870986132025435,0.0106652291027899,0.0265820357110604,0.62285912790454,0.877211488237016,"ExG"
"87","Row","(Intercept)",NA,2.2899607601082e-05,0.00478535344578454,0.00321940600115725,0.0265820357110604,0.62285912790454,0.877211488237016,"ExG"
"88","Range","(Intercept)",NA,7.82013379323844e-05,0.00884315203603243,0.0109941559272024,0.0265820357110604,0.62285912790454,0.877211488237016,"ExG"
"89","Flight","(Intercept)",NA,0.00583425152490593,0.0763822723209118,0.820224726062796,0.0265820357110604,0.62285912790454,0.877211488237016,"ExG"
"90","Rep","(Intercept)",NA,0,0,0,0.0265820357110604,0.62285912790454,0.877211488237016,"ExG"
"91","Residual",NA,NA,0.000873393643511394,0.0295532340617976,0.122788511762984,0.0265820357110604,0.62285912790454,0.877211488237016,"ExG"
"92","Pedigree:Flight","(Intercept)",NA,0.000114748385386526,0.0107120672788461,0.0117919557703133,0.0290775532991844,0.717848070892874,0.902146302193216,"ExG2"
"93","Pedigree","(Intercept)",NA,0.000119469911887255,0.0109302292696565,0.0122771567731633,0.0290775532991844,0.717848070892874,0.902146302193216,"ExG2"
"94","Row","(Intercept)",NA,5.68336101317086e-05,0.00753880694352286,0.0058404256816587,0.0290775532991844,0.717848070892874,0.902146302193216,"ExG2"
"95","Range","(Intercept)",NA,6.16518408034208e-05,0.00785186861857869,0.00633556435206886,0.0290775532991844,0.717848070892874,0.902146302193216,"ExG2"
"96","Flight","(Intercept)",NA,0.00842614800255086,0.0917940521087878,0.865901199616012,0.0290775532991844,0.717848070892874,0.902146302193216,"ExG2"
"97","Rep","(Intercept)",NA,0,0,0,0.0290775532991844,0.717848070892874,0.902146302193216,"ExG2"
"98","Residual",NA,NA,0.000952221501347369,0.0308580864822718,0.0978536978067838,0.0290775532991844,0.717848070892874,0.902146302193216,"ExG2"
